Id,BarName,Name,Price
48,Palace Saloon,Rogue Dry Hopped Saint Rogue Red Ale,7.49
62,The Admiral Benbow Inn,River Rock Ale,4.1
177,Cocktails and Dreams,Lakefront Bridge Burner,11.2
162,The Plumbers Arms,Spaten Munchen Dunkel,4.89
47,The Blue Oyster Bar,Old Milwaukee,12.45
106,Corrado Italian Bistro,Rogue Dry Hopped Saint Rogue Red Ale,7.31
66,The Bada Bing,New Glarus Spotted Cow Ale,2.81
106,Corrado Italian Bistro,Saint Arnold Brown Ale,5.18
100,Volpe's,St Peter's Wheat Ale,10.21
41,Palace Saloon,Smuttynose Wheat Wine,12.36
3,Dead Man's Drink,Lakefront Bridge Burner,11.28
72,West Weald Inn,Boris,10.34
34,Seagrass,St-Ambroise Oatmeal Stout,7.14
79,The Grey Mare,Old Rasputin Russian Imperial Stout,4.89
23,The Winchester Tavern,River Rock Ale,4.31
37,The Intersection,Boris,10.63
13,The Red Boot Pub,Moosbacher Schwarze Weisse,2.58
117,The Drunken Dragon Inn,Lakefront Bridge Burner,11.39
183,The Dog and Partridge,Boddingtons Pub Ale,6.96
193,Ace of Clubs,Boddingtons Pub Ale,6.42
154,The Drunken Clam,Victoria Bitter,8.18
219,Wurstbraterei,Tripel Karmeliet,3.88
9,Poor Richard's,Xingu Black Beer,8.27
115,Elfsong Tavern,Russian River Blind Pig IPA,2.25
159,The Mohune Arms,Fordham Dunkel Weiss,4.21
24,The Malt Shovel,Strong Suffolk Vintage Ale,8.61
3,Dead Man's Drink,Strong Suffolk Vintage Ale,8.99
153,Poison,Steamworks Summer Kolsch,5.69
188,Fortune Casino,Capital Maibock,10.81
162,The Plumbers Arms,Full Sail IPA,10.29
178,Charlie's,Boulevard Unfiltered Wheat Beer,4.74
21,Mickey's,Point Horizon Wheat,11.41
119,The Bang Bang Bar,Moosbacher Schwarze Weisse,2.66
217,Wonder Bar,Full Sail IPA,10.45
186,Bo Ling Chop Suey Palace,Left Hand Polestar Pilsner,5.47
241,The Bull,Drake's Expedition Ale,5.29
51,Colonial Taphouse,Southern Pecan Brown ale,3.52
227,Club Obi Wan,New Glarus Two Women New,11.6
82,New York Bar,Fordham Dunkel Weiss,4.98
250,Maccadam's Old Oil House,Lakefront Bridge Burner,11.05
149,McAnally's,Tripel Karmeliet,3.11
213,Munden's Bar,Tuppers' Hop Pocket Pils,7.57
172,The Three Sisters' Inn,Spaten Munchen Dunkel,4.67
201,Alibi Bar,Rogue Dry Hopped Saint Rogue Red Ale,7.44
72,West Weald Inn,River Rock Ale,4.42
77,The Three Broomsticks,Steamworks Summer Kolsch,5.49
154,The Drunken Clam,Boulevard Unfiltered Wheat Beer,4.04
37,The Intersection,Station House Red Ale,9.18
25,Inn of the Last Home,Old Rasputin Russian Imperial Stout,4.25
151,West Weald Inn,Widmer Snowplow Milk Stout,11.21
12,Cocktails and Dreams,Capital Vintage Ale,7.59
109,The Winchester Club,Boris,10.78
106,Corrado Italian Bistro,Old Milwaukee,12.49
117,The Drunken Dragon Inn,Boddingtons Pub Ale,6.89
206,The Grey Mare,Full Sail IPA,10.64
142,The White Hart,Strongarm Ruby Red Ale,2.59
198,The Thorax Bar,Old Milwaukee,12.86
244,The Butchers Arms,Quail Springs India Pale Ale,8.26
102,Dorsia,Quail Springs India Pale Ale,8.02
175,Glenister's,SweetWater Summer Hummer,2.64
61,Cheers,New Glarus Two Women New,11.79
37,The Intersection,Fred,9.92
166,Crab Shack,Station House Red Ale,9.25
30,Meibeyer's,Capital Vintage Ale,7.19
111,The Drowned Trout,Widmer Snowplow Milk Stout,11.93
44,Charlie's,Southern Pecan Brown ale,3.51
122,The Boatman,Strong Suffolk Vintage Ale,8.57
2,LUX,Full Sail IPA,10.03
111,The Drowned Trout,Southern Pecan Brown ale,3.93
193,Ace of Clubs,Tripel Karmeliet,3.61
152,Thunderbrew Distillery,St Peter's Wheat Ale,10.48
138,Maxwell's Nightclub,Lakefront Bridge Burner,11.76
96,Sleeping Giant Inn,Abita Turbodog,11.77
171,Mickey's,Aass Juleol Premium,10.39
69,The Venusville Bar,Strongarm Ruby Red Ale,2.43
6,LUX,Full Sail IPA,10.43
242,Flanagan's Cocktails & Dreams,River Rock Ale,4.48
211,Table Salt,Geary's Pale Ale,4.48
223,Rick's Café Américain,Xingu Black Beer,8.56
111,The Drowned Trout,Drake's Expedition Ale,5.52
107,The Lamb & Flag,Hops Clearwater Light,3.07
201,Alibi Bar,Point Horizon Wheat,11.42
217,Wonder Bar,Abita Turbodog,11.04
214,New York Bar,Quail Springs India Pale Ale,8.26
82,New York Bar,Tuppers' Hop Pocket Pils,7.77
20,Charlie's,Pinstripe Red Ale,9.18
160,The Earl Of Osbourne,St Peter's Wheat Ale,10.04
36,The Brick,Boris,10.42
247,The Blue Parrot,Russian River Blind Pig IPA,2.02
239,The Grapes,Station House Red Ale,9.1
57,The Mucky Duck,Old Rasputin Russian Imperial Stout,4.16
209,Archie Bunker's Place,Tuppers' Hop Pocket Pils,7.24
173,Old Prospector Saloon,Boddingtons Pub Ale,6.74
71,Glenister's,Quail Springs India Pale Ale,8.67
144,Snakehole Lounge,Strongarm Ruby Red Ale,2.06
102,Dorsia,Victoria Bitter,8.37
1,The Mucky Duck,Aass Juleol Premium,10.76
234,Deville,Aass Juleol Premium,10.06
51,Colonial Taphouse,Geary's Pale Ale,4.9
32,Mad Dog Saloon,Russian River Blind Pig IPA,2.45
115,Elfsong Tavern,Aass Juleol Premium,10.44
218,The Rose & Thorn,Left Hand Polestar Pilsner,5.21
168,The Kebab & Calculator,Capital Vintage Ale,7.83
54,Midnight Bell,Lakeport Honey Lager,7.34
113,The Brick,Miller High Life Light,5.63
43,The Hip Joint,Old Milwaukee,12.45
221,The Three Sisters' Inn,Left Hand Black Jack Porter,2.96
119,The Bang Bang Bar,Boris,10.56
74,The Butchers Arms,River Rock Ale,4.13
44,Charlie's,Victoria Bitter,8.31
94,Levy's,Moosbacher Schwarze Weisse,2.93
161,Electric Psychedelic Pussycat Swingers Club,Capital Vintage Ale,7.6
237,The Gold Room at the Overlook Hotel,Left Hand Black Jack Porter,2.11
19,The Silent Woman,SweetWater Summer Hummer,2.95
128,The Hip Joint,Lakeport Honey Lager,7.4
11,O'Malley's,New Glarus Spotted Cow Ale,2.26
62,The Admiral Benbow Inn,Fordham Dunkel Weiss,4.68
174,The Crow & Crown,New Glarus Spotted Cow Ale,2.96
172,The Three Sisters' Inn,Boulevard Unfiltered Wheat Beer,4.57
88,The Peach Pit,SweetWater Summer Hummer,2.57
176,The Monkey Bar,Widmer Snowplow Milk Stout,11.74
11,O'Malley's,Left Hand Black Jack Porter,2.49
68,The Buck's Head Inn,Xingu Black Beer,8.67
226,Kadie's Club Pecos,Victoria Bitter,8.91
94,Levy's,Xingu Black Beer,8.74
242,Flanagan's Cocktails & Dreams,Abita Turbodog,11.18
48,Palace Saloon,Widmer Snowplow Milk Stout,11.59
165,The Brick,Spaten Munchen Dunkel,4.12
99,The Rat in the Pot,Strong Suffolk Vintage Ale,8.47
100,Volpe's,Hitachino Nest Weizen,5.9
153,Poison,Quail Springs India Pale Ale,8.15
62,The Admiral Benbow Inn,New Glarus Two Women New,11.5
86,The Blue Parrot,Spaten Munchen Dunkel,4.78
212,The Feathers,Capital Vintage Ale,7.42
177,Cocktails and Dreams,Point Horizon Wheat,11.27
217,Wonder Bar,Saint Arnold Brown Ale,5.0
95,The Iron Horse,Geary's Pale Ale,4.3
60,Duke's Pub,St-Ambroise Oatmeal Stout,7.91
148,The Venusville Bar,Sundance Amber Ale,6.23
196,The Flowers of Gold,Aass Juleol Premium,10.45
210,Volpe's,Full Sail IPA,10.68
188,Fortune Casino,Hops Clearwater Light,3.09
9,Poor Richard's,Boddingtons Pub Ale,6.58
164,The Hanged Man,Pinstripe Red Ale,9.16
123,Inn of the Last Home,Boris,10.21
88,The Peach Pit,St Peter's Wheat Ale,10.24
178,Charlie's,New Glarus Spotted Cow Ale,2.7
