Id,Name,State,Open,Close
125,Stone's Throw/Scorched Bone/Setting Sun,TX,1100,1800
126,Boobies,AZ,0900,2000
127,The Moonrakers,MI,1200,2100
128,The Hip Joint,CA,0900,1800
129,Dexter Lake Club,CA,0900,1900
130,Mama Chow's Fine Dining,VA,1000,2000
131,The Red Boot Pub,NE,1300,2100
132,The Ragged Flagon,ND,0800,1800
133,The Griffin,OH,1100,2200
134,The Lion and Unicorn,MA,0800,2300
135,The Aigburth Arms,NV,0800,2300
136,Grilby's,SD,1300,2300
137,Wandin Valley RSL,ID,0800,2200
138,Maxwell's Nightclub,MD,0900,1800
139,The Goat,MA,1300,1900
140,MacLaren's,WY,1200,2200
141,Torchy's,IN,1200,2000
142,The White Hart,CA,1000,2300
143,The Hound Pits Pub,TX,1100,2000
144,Snakehole Lounge,UT,0900,2200
145,New Found Out,MN,0800,1800
146,The Monkey Bar,NE,1300,2300
147,Weatherfield Arms,LA,1100,2000
148,The Venusville Bar,IL,1300,1900
149,McAnally's,RI,1300,1800
150,Broken Keel Tavern,OH,1300,2000
151,West Weald Inn,OR,1300,2000
152,Thunderbrew Distillery,HI,0800,2200
153,Poison,TX,1300,1800
154,The Drunken Clam,CO,0800,2200
155,The Boom Boom Room,CA,0800,2200
156,Seagrass,MD,0900,2200
157,New Found Out,PA,1100,2100
158,Dog And Duck,ID,1300,1900
159,The Mohune Arms,IA,1200,2300
160,The Earl Of Osbourne,HI,1100,2100
161,Electric Psychedelic Pussycat Swingers Club,VA,1100,1800
162,The Plumbers Arms,SD,1200,2300
163,The Blue Oyster Bar,IN,1300,1800
164,The Hanged Man,DE,0900,2300
165,The Brick,OR,1000,1900
166,Crab Shack,TN,1100,2100
167,Broome's,MD,1300,2000
168,The Kebab & Calculator,NY,0900,2000
169,Fitzgerald's,PA,1100,1800
170,The Armada Room,OR,1300,2100
171,Mickey's,MN,0800,1900
172,The Three Sisters' Inn,OH,1300,1900
173,Old Prospector Saloon,MS,1300,2300
174,The Crow & Crown,MD,1200,2000
175,Glenister's,MA,0900,2100
176,The Monkey Bar,SC,1000,2300
177,Cocktails and Dreams,NY,1000,2200
178,Charlie's,OH,0800,2100
179,The Mucky Duck,KY,1300,2200
180,The Thorax Bar,DE,1000,2000
181,The Rabennest,NH,1000,2100
182,The Red Pony,TX,1300,2200
183,The Dog and Partridge,WI,1300,2300
184,The Golden Perch,MN,0800,2000
185,West Weald Inn,NE,0800,1900
186,Bo Ling Chop Suey Palace,MA,0800,2100
187,The Loft,UT,0900,2000
188,Fortune Casino,OH,1100,2300
189,The Rose & Thorn,VA,1300,1900
190,Club Pluto,OR,1100,2300
191,The Three Broomsticks,WA,1300,2200
192,The Aidensfield Arms,MO,0800,2100
193,Ace of Clubs,DE,1200,2000
194,The King and Queen Tavern,RI,1200,2100
195,Founding Fathers,WV,1300,2000
196,The Flowers of Gold,RI,1000,2100
197,The Slaughtered Lamb,NH,1100,1900
198,The Thorax Bar,AZ,0900,2100
199,Kavanagh's Irish Pub,NH,1300,1900
200,The Gold Room at the Overlook Hotel,IA,1000,2100
201,Alibi Bar,IN,1300,2200
202,The Vigilante,WY,1300,1900
203,The Nag's Head,MD,0800,2100
204,Gallow's End Tavern,AR,1000,2100
205,Brady Pub,AZ,1200,1800
206,The Grey Mare,TX,1000,1900
207,Colonial Taphouse,SD,1200,1800
208,The Crab Shed,AR,1300,1800
209,Archie Bunker's Place,WV,0900,1800
210,Volpe's,KS,0900,2200
211,Table Salt,IL,0900,2200
212,The Feathers,MD,1200,2200
213,Munden's Bar,IA,0800,2100
214,New York Bar,OH,1000,2300
215,Ace of Clubs,WI,1000,1900
216,Sandbox,NE,1000,2200
217,Wonder Bar,MO,1100,2100
218,The Rose & Thorn,PA,0900,1900
219,Wurstbraterei,CT,0900,2000
220,The Winking Skeever,UT,1300,2000
221,The Three Sisters' Inn,DE,1000,2200
222,The Maidenhead,NH,0900,1800
223,Rick's Café Américain,GA,0900,2200
224,Mama Chow's Fine Dining,MT,0900,1800
225,Joe's,NC,0900,2200
226,Kadie's Club Pecos,KS,0800,1900
227,Club Obi Wan,HI,1000,1900
228,Electric Psychedelic Pussycat Swingers Club,SC,1300,2100
229,Thunderbrew Distillery,RI,0900,1900
230,Noah's Bar,GA,0900,1900
231,Blue Boar Inn,AL,1200,2200
232,Thunderbrew Distillery,RI,1300,2100
233,Lucky Lockup,NE,1000,1900
234,Deville,MA,1100,2000
235,"The Hand & Racquet, East Cheam",WA,1100,2200
236,Mickey's,OH,0900,2200
237,The Gold Room at the Overlook Hotel,OK,0800,2100
238,LUX,NM,0800,1900
239,The Grapes,WA,1100,1900
240,The White Hart,SD,1100,1800
241,The Bull,ID,1300,2200
242,Flanagan's Cocktails & Dreams,AL,1200,2100
243,The Silent Woman,CO,1000,1800
244,The Butchers Arms,MT,0900,2000
245,Welsh's Bar,OK,0800,1900
246,The Lost Lady Saloon,SC,1000,2000
247,The Blue Parrot,ND,1200,1900
248,The Skinners Arms,OH,1200,1800
249,The Hip Joint,AK,1100,2000
250,Maccadam's Old Oil House,SD,0900,2100
